date,year,month,day,hour,PM2.5,PM10,SO2,NO2,O3,Temprature,Pressure,RAIN
2013-03-02,2013,March,Tuesday,12,14.0,18.0,18.0,68.0,30.0,2.7,1027.3,0.0
2013-03-02,2013,March,Tuesday,13,21.0,25.0,15.0,51.0,47.0,3.3,1025.7,0.0
2013-03-02,2013,March,Tuesday,14,28.0,32.0,16.0,45.0,54.0,3.8,1024.8,0.0
2013-03-02,2013,March,Tuesday,15,31.0,32.0,25.0,48.0,53.0,3.9,1024.1,0.0
2013-03-02,2013,March,Tuesday,16,33.0,46.0,42.0,60.0,44.0,3.5,1023.6,0.0
2013-03-02,2013,March,Tuesday,17,45.0,62.0,47.0,66.0,38.0,2.2,1023.4,0.0
2013-03-02,2013,March,Tuesday,18,52.0,71.0,52.0,72.0,31.0,1.2,1023.2,0.0
2013-03-02,2013,March,Tuesday,19,58.0,83.0,56.0,88.0,16.0,1.5,1022.9,0.0
2013-03-02,2013,March,Tuesday,20,67.0,90.0,57.0,100.0,5.0,1.2,1022.9,0.0
2013-03-02,2013,March,Tuesday,21,79.0,98.0,57.0,106.0,2.0,0.6,1022.6,0.0
2013-03-02,2013,March,Tuesday,22,86.0,102.0,51.0,108.0,2.0,-0.6,1022.3,0.0
2013-03-02,2013,March,Tuesday,23,79.0,88.0,50.0,104.0,2.0,-0.8,1021.1,0.0
2013-03-03,2013,March,Wednesday,0,77.0,93.0,69.0,106.0,2.0,-1.4,1020.4,0.0
2013-03-03,2013,March,Wednesday,1,93.0,104.0,92.0,106.0,2.0,-2.0,1019.4,0.0
2013-03-03,2013,March,Wednesday,2,103.0,113.0,122.0,106.0,2.0,-2.8,1018.3,0.0
2013-03-03,2013,March,Wednesday,3,113.0,126.0,131.0,105.0,2.0,-2.6,1017.2,0.0
2013-03-03,2013,March,Wednesday,4,98.0,104.0,116.0,100.0,2.0,-4.3,1016.9,0.0
2013-03-03,2013,March,Wednesday,5,86.0,95.0,80.0,96.0,2.0,-5.6,1016.3,0.0
2013-03-03,2013,March,Wednesday,6,83.0,94.0,62.0,97.0,2.0,-5.8,1016.2,0.0
2013-03-03,2013,March,Wednesday,7,82.0,100.0,75.0,100.0,2.0,-3.1,1016.5,0.0
2013-03-03,2013,March,Wednesday,8,79.0,102.0,78.0,98.0,2.0,0.7,1016.2,0.0
2013-03-03,2013,March,Wednesday,9,82.0,115.0,131.0,102.0,3.0,3.5,1015.8,0.0
2013-03-03,2013,March,Wednesday,10,90.0,124.0,161.0,104.0,7.0,6.5,1014.9,0.0
2013-03-03,2013,March,Wednesday,11,98.0,123.0,130.0,111.0,10.0,11.4,1013.8,0.0
2013-03-03,2013,March,Wednesday,12,104.0,143.0,90.0,116.0,15.0,13.8,1012.5,0.0
2013-03-03,2013,March,Wednesday,13,92.0,133.0,42.0,87.0,32.0,16.0,1011.5,0.0
2013-03-03,2013,March,Wednesday,14,74.0,102.0,19.0,52.0,58.0,16.7,1010.8,0.0
2013-03-03,2013,March,Wednesday,15,47.0,109.0,6.0,24.0,78.0,16.9,1010.5,0.0
2013-03-03,2013,March,Wednesday,16,22.0,88.0,22.0,54.0,67.0,16.4,1010.6,0.0
2013-03-03,2013,March,Wednesday,17,52.0,121.0,34.0,79.0,52.0,13.1,1011.1,0.0
2013-03-03,2013,March,Wednesday,18,65.0,135.0,42.0,99.0,35.0,8.7,1012.3,0.0
2013-03-03,2013,March,Wednesday,19,92.0,187.0,67.0,146.0,6.0,12.2,1013.4,0.0
2013-03-03,2013,March,Wednesday,20,138.0,234.0,60.0,144.0,2.0,11.7,1013.5,0.0
2013-03-03,2013,March,Wednesday,21,143.0,216.0,14.0,95.0,8.0,5.3,1013.6,0.0
2013-03-03,2013,March,Wednesday,22,13.0,47.0,9.0,93.0,3.0,3.1,1014.1,0.0
2013-03-03,2013,March,Wednesday,23,30.0,50.0,9.0,95.0,2.0,5.2,1014.8,0.0
2013-03-04,2013,March,Thursday,0,28.0,48.0,22.0,94.0,2.0,7.7,1015.7,0.0
2013-03-04,2013,March,Thursday,1,35.0,50.0,41.0,79.0,11.0,8.2,1016.7,0.0
2013-03-04,2013,March,Thursday,2,26.0,50.0,15.0,31.0,53.0,8.1,1016.7,0.0
2013-03-04,2013,March,Thursday,3,8.0,28.0,6.0,26.0,61.0,7.2,1016.9,0.0
2013-03-04,2013,March,Thursday,4,4.0,20.0,13.0,33.0,49.0,6.0,1018.0,0.0
2013-03-04,2013,March,Thursday,5,6.0,25.0,16.0,26.0,54.0,2.7,1018.6,0.0
2013-03-04,2013,March,Thursday,6,10.0,26.0,18.0,39.0,40.0,3.8,1018.9,0.0
2013-03-04,2013,March,Thursday,7,7.0,22.0,23.0,67.0,16.0,6.5,1019.7,0.0
2013-03-04,2013,March,Thursday,8,10.0,28.0,27.0,67.0,20.0,9.0,1020.7,0.0
2013-03-04,2013,March,Thursday,9,13.0,29.0,32.0,52.0,37.0,10.6,1020.8,0.0
2013-03-04,2013,March,Thursday,10,10.0,22.0,12.0,31.0,62.0,11.9,1020.4,0.0
2013-03-04,2013,March,Thursday,11,9.0,14.0,11.0,31.0,67.0,13.1,1020.0,0.0
2013-03-04,2013,March,Thursday,12,9.0,25.0,12.0,28.0,73.0,14.2,1018.9,0.0
2013-03-04,2013,March,Thursday,13,15.0,18.0,8.0,22.0,80.0,15.3,1017.8,0.0
2013-03-04,2013,March,Thursday,14,3.0,10.0,3.0,18.0,88.0,15.2,1017.0,0.0
2013-03-04,2013,March,Thursday,15,6.0,8.0,6.0,31.0,76.0,15.3,1016.3,0.0
2013-03-04,2013,March,Thursday,16,3.0,6.0,10.0,35.0,84.0,14.5,1015.7,0.0
2013-03-04,2013,March,Thursday,17,3.0,100.0,7.0,41.0,95.0,12.7,1015.9,0.0
2013-03-04,2013,March,Thursday,18,17.0,70.0,9.0,51.0,80.0,11.6,1016.5,0.0
2013-03-04,2013,March,Thursday,19,27.0,58.0,14.0,70.0,58.0,10.9,1016.6,0.0
2013-03-04,2013,March,Thursday,20,36.0,75.0,21.0,79.0,46.0,9.9,1016.9,0.0
2013-03-04,2013,March,Thursday,21,41.0,78.0,45.0,87.0,37.0,8.4,1016.9,0.0
2013-03-04,2013,March,Thursday,22,53.0,94.0,66.0,98.0,24.0,8.6,1016.3,0.0
2013-03-04,2013,March,Thursday,23,59.0,103.0,48.0,96.0,95.0,7.7,1015.7,0.0
2013-03-05,2013,March,Friday,0,70.0,102.0,57.0,90.0,95.0,4.7,1015.2,0.0
2013-03-05,2013,March,Friday,1,93.0,116.0,76.0,81.0,95.0,1.1,1014.7,0.0
2013-03-05,2013,March,Friday,2,108.0,135.0,78.0,88.0,95.0,-0.6,1014.4,0.0
2013-03-05,2013,March,Friday,3,116.0,143.0,88.0,84.0,95.0,0.2,1014.0,0.0
2013-03-05,2013,March,Friday,4,121.0,137.0,79.0,90.0,95.0,1.8,1013.7,0.0
2013-03-05,2013,March,Friday,5,121.0,138.0,69.0,97.0,95.0,0.6,1013.9,0.0
2013-03-05,2013,March,Friday,6,111.0,146.0,84.0,101.0,95.0,-0.2,1013.4,0.0
2013-03-05,2013,March,Friday,7,100.0,130.0,85.0,98.0,95.0,2.9,1013.4,0.0
2013-03-05,2013,March,Friday,8,98.0,136.0,78.0,97.0,95.0,5.1,1013.4,0.0
2013-03-05,2013,March,Friday,9,106.0,168.0,87.0,97.0,95.0,7.7,1012.8,0.0
2013-03-05,2013,March,Friday,10,111.0,142.0,84.0,100.0,95.0,9.4,1012.0,0.0
2013-03-05,2013,March,Friday,11,119.0,141.0,84.0,104.0,95.0,10.6,1011.1,0.0
2013-03-05,2013,March,Friday,12,129.0,154.0,84.0,118.0,31.0,11.9,1009.7,0.0
2013-03-05,2013,March,Friday,13,135.0,152.0,74.0,126.0,95.0,12.6,1008.5,0.0
2013-03-05,2013,March,Friday,14,128.0,139.0,69.0,145.0,95.0,13.5,1007.7,0.0
2013-03-05,2013,March,Friday,15,152.0,152.0,67.0,166.0,95.0,13.8,1007.2,0.0
2013-03-05,2013,March,Friday,16,158.0,158.0,77.0,190.0,95.0,13.2,1007.1,0.0
2013-03-05,2013,March,Friday,17,178.0,189.0,86.0,206.0,80.0,12.1,1007.7,0.0
2013-03-05,2013,March,Friday,18,196.0,216.0,96.0,197.0,58.0,9.0,1008.2,0.0
2013-03-05,2013,March,Friday,19,200.0,224.0,93.0,194.0,46.0,5.3,1008.5,0.0
2013-03-05,2013,March,Friday,20,201.0,224.0,94.0,189.0,39.0,3.3,1008.7,0.0
2013-03-05,2013,March,Friday,21,207.0,224.0,89.0,189.0,39.0,2.9,1009.0,0.0
2013-03-05,2013,March,Friday,22,215.0,236.0,100.0,192.0,39.0,5.2,1008.9,0.0
2013-03-05,2013,March,Friday,23,215.0,227.0,123.0,195.0,39.0,4.9,1008.4,0.0
2013-03-06,2013,March,Saturday,0,230.0,248.0,136.0,188.0,39.0,4.9,1008.5,0.0
2013-03-06,2013,March,Saturday,1,244.0,264.0,119.0,172.0,39.0,4.8,1008.3,0.0
2013-03-06,2013,March,Saturday,2,176.0,222.0,110.5,158.0,39.0,4.1,1007.8,0.0
2013-03-06,2013,March,Saturday,3,160.0,189.0,102.0,160.0,39.0,4.0,1007.6,0.0
2013-03-06,2013,March,Saturday,4,194.0,204.0,89.0,157.0,39.0,3.9,1007.3,0.0
2013-03-06,2013,March,Saturday,5,186.0,194.0,111.0,154.0,39.0,4.1,1007.8,0.0
2013-03-06,2013,March,Saturday,6,163.0,186.0,115.0,160.0,39.0,4.5,1008.4,0.0
2013-03-06,2013,March,Saturday,7,158.0,188.0,100.0,153.0,39.0,5.7,1009.3,0.0
2013-03-06,2013,March,Saturday,8,192.0,204.0,115.0,135.0,39.0,6.6,1009.3,0.0
2013-03-06,2013,March,Saturday,9,191.0,225.0,102.0,120.0,39.0,7.5,1009.1,0.0
2013-03-06,2013,March,Saturday,10,178.0,182.0,105.0,117.0,39.0,8.7,1008.6,0.0
2013-03-06,2013,March,Saturday,11,176.0,181.0,112.0,118.0,39.0,10.1,1007.7,0.0
2013-03-06,2013,March,Saturday,12,185.0,195.0,131.0,135.0,39.0,11.1,1006.9,0.0
2013-03-06,2013,March,Saturday,13,208.0,225.0,134.0,150.0,36.0,12.6,1005.8,0.0
2013-03-06,2013,March,Saturday,14,218.0,245.0,130.0,157.0,25.0,14.5,1005.5,0.0
2013-03-06,2013,March,Saturday,15,232.0,256.0,146.0,158.0,18.0,14.7,1005.5,0.0
2013-03-06,2013,March,Saturday,16,228.0,248.0,139.0,173.0,12.0,14.2,1005.5,0.0
2013-03-06,2013,March,Saturday,17,226.0,252.0,151.0,173.0,12.0,11.6,1005.9,0.0
2013-03-06,2013,March,Saturday,18,228.0,277.0,145.0,164.0,12.0,6.8,1006.8,0.0
2013-03-06,2013,March,Saturday,19,225.0,265.0,148.0,171.0,12.0,5.1,1007.6,0.0
2013-03-06,2013,March,Saturday,20,231.0,270.0,140.0,169.0,12.0,4.4,1008.2,0.0
2013-03-06,2013,March,Saturday,21,236.0,266.0,156.0,162.0,12.0,3.8,1007.7,0.0
2013-03-06,2013,March,Saturday,22,231.0,262.0,158.0,159.0,12.0,2.4,1007.3,0.0
2013-03-06,2013,March,Saturday,23,238.0,266.0,149.0,156.0,12.0,2.3,1007.2,0.0
2013-03-07,2013,March,Sunday,0,242.0,275.0,145.0,151.0,12.0,1.5,1007.1,0.0
2013-03-07,2013,March,Sunday,1,246.0,281.0,140.0,148.0,12.0,0.7,1007.1,0.0
2013-03-07,2013,March,Sunday,2,236.0,264.0,133.0,140.0,12.0,1.5,1006.9,0.0
2013-03-07,2013,March,Sunday,3,224.0,260.0,122.0,132.0,12.0,0.3,1006.5,0.0
2013-03-07,2013,March,Sunday,4,221.0,254.0,99.0,122.0,12.0,-0.9,1006.4,0.0
2013-03-07,2013,March,Sunday,5,218.0,232.0,79.0,116.0,12.0,1.6,1006.7,0.0
2013-03-07,2013,March,Sunday,6,214.0,222.0,70.0,116.0,12.0,0.3,1006.6,0.0
2013-03-07,2013,March,Sunday,7,220.0,246.0,66.0,124.0,12.0,2.4,1006.8,0.0
2013-03-07,2013,March,Sunday,8,237.0,250.0,80.0,157.0,12.0,8.3,1006.5,0.0
2013-03-07,2013,March,Sunday,9,262.0,342.0,140.0,184.0,12.0,10.1,1006.1,0.0
2013-03-07,2013,March,Sunday,10,278.0,333.0,141.0,199.0,12.0,12.7,1005.5,0.0
2013-03-07,2013,March,Sunday,11,280.0,299.0,127.0,233.0,12.0,16.5,1003.6,0.0
2013-03-07,2013,March,Sunday,12,289.0,328.0,109.0,270.0,12.0,17.1,1001.6,0.0
2013-03-07,2013,March,Sunday,13,297.0,344.0,92.0,204.0,29.0,17.7,1000.2,0.0
2013-03-07,2013,March,Sunday,14,252.0,254.0,88.0,142.0,72.0,18.3,998.6,0.0
2013-03-07,2013,March,Sunday,15,264.0,282.0,56.0,89.0,96.0,18.6,997.6,0.0
2013-03-07,2013,March,Sunday,16,230.0,230.0,48.0,74.0,107.0,17.9,997.2,0.0
2013-03-07,2013,March,Sunday,17,192.0,205.0,63.0,96.0,107.0,15.4,997.1,0.0
2013-03-07,2013,March,Sunday,18,205.0,242.0,63.0,122.0,107.0,14.4,997.4,0.0
2013-03-07,2013,March,Sunday,19,197.0,235.0,57.0,163.0,18.0,13.4,997.9,0.0
2013-03-07,2013,March,Sunday,20,197.0,247.0,82.0,218.0,107.0,11.8,997.7,0.0
2013-03-07,2013,March,Sunday,21,263.0,309.0,137.0,226.0,107.0,9.2,997.9,0.0
2013-03-07,2013,March,Sunday,22,319.0,375.0,123.0,226.0,107.0,7.5,998.3,0.0
2013-03-07,2013,March,Sunday,23,369.0,414.0,109.0,221.0,107.0,6.6,998.4,0.0
2013-03-08,2013,March,,0,358.0,372.0,118.0,214.0,107.0,4.1,998.2,0.0
2013-03-08,2013,March,,1,353.0,368.0,107.0,197.0,107.0,3.3,998.5,0.0
2013-03-08,2013,March,,2,351.0,361.0,87.0,192.0,107.0,2.5,998.2,0.0
2013-03-08,2013,March,,3,335.0,337.0,81.0,192.0,107.0,1.8,997.9,0.0
2013-03-08,2013,March,,4,273.0,308.0,75.0,175.0,107.0,1.3,998.5,0.0
2013-03-08,2013,March,,5,265.0,293.0,70.0,176.0,107.0,1.4,999.0,0.0
2013-03-08,2013,March,,6,291.0,293.0,74.0,173.0,107.0,1.1,999.7,0.0
2013-03-08,2013,March,,7,282.0,307.0,65.0,182.0,107.0,5.7,1000.4,0.0
2013-03-08,2013,March,,8,266.0,308.0,78.0,191.0,107.0,10.9,1000.8,0.0
2013-03-08,2013,March,,9,315.0,358.0,86.0,214.0,107.0,16.9,1001.1,0.0
2013-03-08,2013,March,,10,314.0,331.0,72.5424,220.0816,107.0,19.1,1000.9,0.0
2013-03-08,2013,March,,11,225.0,258.0,56.0,202.0,107.0,20.5,1000.5,0.0
2013-03-08,2013,March,,12,185.0,210.0,45.0,172.0,107.0,21.7,999.4,0.0
2013-03-08,2013,March,,13,133.0,188.0,35.0,97.0,107.0,22.5,998.2,0.0
2013-03-08,2013,March,,14,127.0,185.0,36.0,68.0,107.0,17.4,998.3,0.0
2013-03-08,2013,March,,15,268.0,501.0,88.0,136.0,107.0,13.9,999.5,0.0
2013-03-08,2013,March,,16,163.0,277.0,63.0,85.0,104.0,11.9,1000.2,0.0
2013-03-08,2013,March,,17,116.0,170.0,46.0,63.0,104.0,10.3,999.9,0.0
2013-03-08,2013,March,,18,84.0,117.0,40.0,60.0,104.0,9.3,1000.6,0.0
2013-03-08,2013,March,,19,73.0,91.0,39.0,55.0,104.0,8.0,1000.5,0.0
2013-03-08,2013,March,,20,90.0,116.0,43.0,77.0,104.0,7.9,1000.4,0.0
2013-03-08,2013,March,,21,48.0,63.0,36.0,49.0,104.0,7.2,1000.0,0.0
2013-03-08,2013,March,,22,46.0,84.0,40.0,81.0,104.0,6.3,999.0,0.0
2013-03-08,2013,March,,23,78.0,92.0,55.0,83.0,104.0,5.7,997.7,0.0
2013-03-09,2013,March,,0,47.0,61.0,61.0,64.0,104.0,3.6,996.1,0.0
2013-03-09,2013,March,,1,52.0,73.0,66.0,71.0,104.0,2.1,994.9,0.0
2013-03-09,2013,March,,2,62.0,88.0,76.0,60.0,104.0,1.4,994.1,0.0
2013-03-09,2013,March,,3,70.0,96.0,83.0,65.0,104.0,1.1,993.0,0.0
2013-03-09,2013,March,,4,73.0,97.0,85.0,57.0,104.0,1.8,992.0,0.0
2013-03-09,2013,March,,5,74.0,96.0,63.0,97.0,104.0,3.2,992.0,0.0
2013-03-09,2013,March,,6,97.0,112.0,63.0,97.0,104.0,2.8,992.2,0.0
2013-03-09,2013,March,,7,98.0,116.0,67.0,94.0,104.0,4.6,992.9,0.0
2013-03-09,2013,March,,8,99.0,121.0,68.0,92.0,104.0,8.4,994.1,0.0
2013-03-09,2013,March,,9,104.0,146.0,86.0,98.0,104.0,16.3,995.9,0.0
2013-03-09,2013,March,,10,125.0,328.0,79.0,90.0,104.0,16.7,998.3,0.0
2013-03-09,2013,March,,11,76.0,737.0,20.0,36.0,104.0,14.3,1001.3,0.0
2013-03-09,2013,March,,12,44.0,987.0,3.0,21.0,104.0,12.4,1004.3,0.0
2013-03-09,2013,March,,13,48.0,807.3333333333334,3.0,18.0,104.0,10.3,1006.5,0.0
2013-03-09,2013,March,,14,48.0,627.6666666666667,3.0,18.0,87.0,10.5,1008.1,0.0
2013-03-09,2013,March,,15,41.0,448.0,3.0,18.0,87.0,10.2,1009.4,0.0
2013-03-09,2013,March,,16,12.0,191.0,3.0,20.0,87.0,10.5,1010.8,0.0
2013-03-09,2013,March,,17,10.0,171.0,4.0,23.0,87.0,8.6,1013.0,0.0
2013-03-09,2013,March,,18,12.0,140.0,3.0,23.0,87.0,7.4,1015.9,0.0
2013-03-09,2013,March,,19,9.0,112.0,8.0,26.0,87.0,6.4,1018.1,0.0
2013-03-09,2013,March,,20,10.0,87.0,8.0,24.0,87.0,5.6,1019.7,0.0
2013-03-09,2013,March,,21,10.0,64.0,11.0,27.0,87.0,4.8,1020.3,0.0
2013-03-09,2013,March,,22,9.0,41.0,11.0,28.0,87.0,3.8,1021.2,0.0
2013-03-09,2013,March,,23,12.0,24.0,4.0,29.0,87.0,0.8,1021.3,0.0
2013-03-10,2013,March,,0,12.0,22.0,3.0,31.0,87.0,-0.5,1020.8,0.0
2013-03-10,2013,March,,1,13.0,21.0,7.0,37.0,87.0,-0.2,1021.1,0.0
2013-03-10,2013,March,,2,15.0,41.0,7.0,44.0,87.0,-2.1,1020.9,0.0
2013-03-10,2013,March,,3,16.0,30.0,14.0,46.0,87.0,-2.0,1021.1,0.0
2013-03-10,2013,March,,4,3.0,7.0,8.0,47.0,87.0,-1.3,1021.9,0.0
2013-03-10,2013,March,,5,14.0,18.0,9.0,61.0,87.0,-1.8,1022.0,0.0
2013-03-10,2013,March,,6,18.0,41.0,24.0,88.0,87.0,-2.0,1022.5,0.0
2013-03-10,2013,March,,7,29.0,55.0,35.0,91.0,87.0,3.5,1023.2,0.0
2013-03-10,2013,March,,8,22.0,50.0,39.0,78.0,87.0,5.3,1023.5,0.0
2013-03-10,2013,March,,9,28.0,57.0,45.0,67.0,87.0,6.8,1023.1,0.0
2013-03-10,2013,March,,10,25.0,49.0,24.0,47.0,87.0,8.3,1022.4,0.0
2013-03-10,2013,March,,11,26.0,54.0,21.0,35.0,87.0,9.8,1021.9,0.0
2013-03-10,2013,March,,12,29.0,53.0,22.0,36.0,87.0,10.4,1021.0,0.0
2013-03-10,2013,March,,13,38.0,50.0,21.0,39.0,87.0,11.2,1020.0,0.0
2013-03-10,2013,March,,14,28.0,42.0,14.0,33.0,85.0,11.4,1019.0,0.0
2013-03-10,2013,March,,15,32.0,49.0,14.0,30.0,96.0,11.3,1018.7,0.0
2013-03-10,2013,March,,16,37.0,65.0,16.0,31.0,96.0,10.4,1018.3,0.0
2013-03-10,2013,March,,17,39.0,70.0,24.0,37.0,96.0,9.1,1018.2,0.0
2013-03-10,2013,March,,18,48.0,78.0,24.0,42.0,96.0,8.2,1018.5,0.0
2013-03-10,2013,March,,19,52.0,90.0,26.0,51.0,96.0,7.7,1018.8,0.0
2013-03-10,2013,March,,20,70.0,115.0,33.0,65.0,96.0,7.4,1018.8,0.0
2013-03-10,2013,March,,21,66.0,110.0,28.0,65.0,96.0,6.5,1018.9,0.0
2013-03-10,2013,March,,22,73.0,119.0,38.0,64.0,96.0,5.9,1018.5,0.0
2013-03-10,2013,March,,23,85.0,139.0,57.0,76.0,96.0,3.0,1018.7,0.0
2013-03-11,2013,March,,0,83.0,138.0,60.0,72.0,96.0,0.3,1018.5,0.0
2013-03-11,2013,March,,1,94.0,146.0,65.0,80.0,96.0,-0.7,1018.0,0.0
2013-03-11,2013,March,,2,91.0,135.0,64.0,73.0,96.0,-1.7,1017.4,0.0
2013-03-11,2013,March,,3,103.0,144.0,82.0,81.0,96.0,-2.1,1017.2,0.0
2013-03-11,2013,March,,4,114.0,152.0,92.0,79.0,96.0,-1.6,1016.9,0.0
2013-03-11,2013,March,,5,119.0,161.0,100.0,81.0,96.0,-2.3,1016.9,0.0
2013-03-11,2013,March,,6,110.0,142.0,92.0,81.0,96.0,-2.1,1017.0,0.0
2013-03-11,2013,March,,7,112.0,134.0,102.0,77.0,96.0,1.3,1017.4,0.0
2013-03-11,2013,March,,8,92.0,114.0,84.0,74.0,96.0,3.1,1017.5,0.0
2013-03-11,2013,March,,9,101.0,133.0,103.0,87.0,96.0,4.6,1016.8,0.0
2013-03-11,2013,March,,10,120.0,172.0,114.0,104.0,96.0,6.7,1016.0,0.0
2013-03-11,2013,March,,11,129.0,179.0,99.0,114.0,96.0,7.6,1015.0,0.0
2013-03-11,2013,March,,12,125.0,148.0,97.0,97.0,96.0,9.7,1013.4,0.0
2013-03-11,2013,March,,13,111.0,133.0,100.0,81.0,96.0,11.3,1012.3,0.0
2013-03-11,2013,March,,14,109.0,138.0,96.0,76.0,96.0,11.4,1010.9,0.0
2013-03-11,2013,March,,15,98.0,129.0,92.0,68.0,95.0,10.7,1010.3,0.0
2013-03-11,2013,March,,16,112.0,158.0,114.0,80.0,84.0,10.4,1009.5,0.0
2013-03-11,2013,March,,17,130.0,182.0,164.0,93.0,83.0,9.7,1009.7,0.0
2013-03-11,2013,March,,18,152.0,224.0,189.0,112.0,76.0,9.7,1009.8,0.0
2013-03-11,2013,March,,19,168.0,238.0,189.0,129.0,54.0,9.6,1010.0,0.0
2013-03-11,2013,March,,20,176.0,251.0,179.0,129.0,53.0,9.8,1010.4,0.0
2013-03-11,2013,March,,21,174.0,235.0,139.0,122.0,53.0,9.6,1009.8,0.0
2013-03-11,2013,March,,22,141.0,194.0,96.0,114.0,53.0,9.3,1009.2,0.0
2013-03-11,2013,March,,23,100.0,131.0,52.0,100.0,53.0,8.6,1008.0,0.0
2013-03-12,2013,March,,0,88.0,110.0,49.0,88.0,53.0,6.3,1007.5,0.0
2013-03-12,2013,March,,1,102.0,133.0,64.0,93.0,53.0,4.8,1006.8,0.0
2013-03-12,2013,March,,2,117.0,144.0,70.0,91.0,53.0,5.3,1005.8,0.0
2013-03-12,2013,March,,3,111.0,129.0,62.0,85.0,53.0,6.4,1005.8,0.1
2013-03-12,2013,March,,4,110.0,132.0,61.0,84.0,53.0,4.3,1006.3,0.4
2013-03-12,2013,March,,5,153.0,217.0,41.0,96.0,53.0,4.7,1006.1,0.1
2013-03-12,2013,March,,6,144.0,155.0,27.0,91.0,53.0,4.1,1006.2,0.9
2013-03-12,2013,March,,7,109.0,120.0,26.0,87.0,53.0,3.5,1006.9,0.9
2013-03-12,2013,March,,8,98.0,105.0,19.0,85.0,53.0,3.1,1006.9,0.4
2013-03-12,2013,March,,9,100.0,104.0,21.0,86.0,53.0,3.4,1006.6,0.0
2013-03-12,2013,March,,10,105.0,113.0,23.0,88.0,53.0,3.7,1006.8,0.0
